year,region,time
2010,5,17.392305
2010,8,20.689177
2010,14,20.757057
2010,11,17.565067
2010,4,13.767173
2010,13,15.278561
2010,12,14.083073
2010,2,14.7424965
2010,3,15.177305
2010,15,16.533628
2010,1,10.419769
2010,10,11.210032
2010,6,21.178316
2010,7,26.181984
2010,9,18.049477
2011,5,18.024395
2011,8,21.005272
2011,14,21.113941
2011,11,17.9935
2011,4,14.255041
2011,13,15.3526
2011,12,14.385885
2011,2,15.535901
2011,3,16.372156
2011,15,17.361416
2011,1,11.183142
2011,10,11.716051
2011,6,21.694094
2011,7,26.65829
2011,9,18.411858
2012,5,18.494604
2012,8,21.161125
2012,14,21.245176
2012,11,18.20311
2012,4,14.643479
2012,13,15.362376
2012,12,14.752993
2012,2,16.109318
2012,3,17.25264
2012,15,17.827187
2012,1,11.725007
2012,10,11.839399
2012,6,22.030855
2012,7,27.0774
2012,9,18.628672
2013,5,18.974932
2013,8,21.320402
2013,14,21.305384
2013,11,18.321077
2013,4,14.957832
2013,13,15.389573
2013,12,14.854528
2013,2,16.63868
2013,3,17.957113
2013,15,18.201435
2013,1,12.227376
2013,10,12.035633
2013,6,22.253174
2013,7,27.31704
2013,9,18.745653
2014,5,19.308067
2014,8,21.636044
2014,14,21.490229
2014,11,18.460697
2014,4,15.240319
2014,13,15.551794
2014,12,15.018975
2014,2,17.157042
2014,3,18.536268
2014,15,18.524084
2014,1,12.730024
2014,10,12.31413
2014,6,22.401487
2014,7,27.483223
2014,9,18.79752
2015,5,19.826258
2015,8,21.86256
2015,14,21.592215
2015,11,18.758821
2015,4,15.504459
2015,13,15.561364
2015,12,15.163677
2015,2,17.822855
2015,3,19.211441
2015,15,18.708256
2015,1,13.285073
2015,10,12.474061
2015,6,22.779247
2015,7,27.884426
2015,9,18.898401
2016,5,20.382132
2016,8,22.092453
2016,14,21.727726
2016,11,18.869677
2016,4,15.730864
2016,13,15.624849
2016,12,15.312438
2016,2,18.199305
2016,3,19.472038
2016,15,19.083002
2016,1,13.687297
2016,10,12.724028
2016,6,22.917913
2016,7,28.15531
2016,9,18.967806
2017,5,20.933117
2017,8,22.334112
2017,14,21.913815
2017,11,19.054474
2017,4,15.9098835
2017,13,15.743809
2017,12,15.510366
2017,2,18.64487
2017,3,20.086756
2017,15,19.248333
2017,1,14.125209
2017,10,12.811417
2017,6,23.13459
2017,7,28.492735
2017,9,19.011696
2018,5,21.466654
2018,8,22.393818
2018,14,21.897427
2018,11,19.052544
2018,4,16.094719
2018,13,15.830433
2018,12,15.516999
2018,2,18.855278
2018,3,20.198862
2018,15,19.575478
2018,1,14.473165
2018,10,12.957579
2018,6,23.194504
2018,7,28.912432
2018,9,19.027975
2019,5,21.92788
2019,8,22.477074
2019,14,21.99127
2019,11,19.01416
2019,4,16.212547
2019,13,15.980756
2019,12,15.702748
2019,2,19.046835
2019,3,20.384945
2019,15,19.781284
2019,1,14.78639
2019,10,13.029372
2019,6,23.293928
2019,7,29.248487
2019,9,18.944286
2020,5,22.325825
2020,8,22.490889
2020,14,22.068153
2020,11,19.149082
2020,4,16.315542
2020,13,15.925116
2020,12,15.88971
2020,2,19.381987
2020,3,20.791176
2020,15,19.860624
2020,1,15.172097
2020,10,13.107715
2020,6,23.448488
2020,7,29.617186
2020,9,19.008415
2021,5,22.721386
2021,8,22.601768
2021,14,22.157299
2021,11,19.11423
2021,4,16.39883
2021,13,16.024338
2021,12,15.992175
2021,2,19.499325
2021,3,20.81897
2021,15,20.070778
2021,1,15.4300995
2021,10,13.151063
2021,6,23.4552
2021,7,29.905506
2021,9,18.90443
2022,5,23.029081
2022,8,22.652164
2022,14,22.240498
2022,11,19.099247
2022,4,16.443016
2022,13,16.050303
2022,12,16.05116
2022,2,19.572317
2022,3,20.956783
2022,15,20.190891
2022,1,15.635801
2022,10,13.269468
2022,6,23.536207
2022,7,30.095705
2022,9,18.899302
2023,5,24.371832
2023,8,24.021017
2023,14,24.47962
2023,11,22.194778
2023,4,17.809103
2023,13,17.3152
2023,12,18.067915
2023,2,22.075428
2023,3,27.16944
2023,15,22.098843
2023,1,16.34538
2023,10,15.956626
2023,6,23.18162
2023,7,30.192087
2023,9,19.220564
2024,5,24.49255
2024,8,24.085024
2024,14,24.920382
2024,11,22.096582
2024,4,17.81778
2024,13,17.326387
2024,12,18.14673
2024,2,22.110441
2024,3,27.620127
2024,15,22.14881
2024,1,16.625551
2024,10,15.923079
2024,6,23.292578
2024,7,30.126726
2024,9,19.275238
2025,5,24.560272
2025,8,24.024422
2025,14,24.998997
2025,11,21.946465
2025,4,17.754137
2025,13,17.266268
2025,12,18.179443
2025,2,22.043228
2025,3,27.553629
2025,15,22.289446
2025,1,16.718115
2025,10,16.1235
2025,6,23.325941
2025,7,30.231298
2025,9,19.259426
2026,5,24.587673
2026,8,23.992508
2026,14,25.102364
2026,11,21.856411
2026,4,17.680021
2026,13,17.323774
2026,12,18.320204
2026,2,22.01474
2026,3,27.44736
2026,15,22.377762
2026,1,16.827066
2026,10,16.11011
2026,6,23.395273
2026,7,30.486248
2026,9,19.224861
2027,5,24.792624
2027,8,24.076338
2027,14,25.147652
2027,11,21.763494
2027,4,17.663713
2027,13,17.29293
2027,12,18.349705
2027,2,22.019053
2027,3,27.428957
2027,15,22.465153
2027,1,16.995295
2027,10,16.210382
2027,6,23.422506
2027,7,30.57189
2027,9,19.196074
2028,5,25.02531
2028,8,24.06806
2028,14,25.247662
2028,11,21.655851
2028,4,17.715189
2028,13,17.318562
2028,12,18.391872
2028,2,22.022955
2028,3,27.437391
2028,15,22.555569
2028,1,17.110659
2028,10,16.216677
2028,6,23.505144
2028,7,30.614794
2028,9,19.158401
2029,5,25.066074
2029,8,24.118206
2029,14,25.267105
2029,11,21.59597
2029,4,17.687832
2029,13,17.424862
2029,12,18.461433
2029,2,22.078476
2029,3,27.442299
2029,15,22.600147
2029,1,17.263262
2029,10,16.309185
2029,6,23.590542
2029,7,30.879526
2029,9,19.124567
2030,5,25.192398
2030,8,24.11288
2030,14,25.327461
2030,11,21.547949
2030,4,17.70392
2030,13,17.459232
2030,12,18.767757
2030,2,22.07119
2030,3,27.464878
2030,15,22.676945
2030,1,17.408955
2030,10,16.267925
2030,6,23.669987
2030,7,30.971159
2030,9,19.101952
2031,5,25.272783
2031,8,24.114895
2031,14,25.520811
2031,11,21.552553
2031,4,17.745735
2031,13,17.513237
2031,12,18.829426
2031,2,22.133373
2031,3,27.505157
2031,15,22.74972
2031,1,17.552763
2031,10,16.335772
2031,6,23.658815
2031,7,31.05244
2031,9,19.086271
2032,5,25.377672
2032,8,24.094177
2032,14,25.626848
2032,11,21.548666
2032,4,17.793932
2032,13,17.522657
2032,12,19.02688
2032,2,22.16778
2032,3,27.521688
2032,15,22.802212
2032,1,17.68224
2032,10,16.55172
2032,6,23.727634
2032,7,31.236246
2032,9,19.144054
2033,5,25.332703
2033,8,24.10446
2033,14,25.596718
2033,11,21.476791
2033,4,17.762928
2033,13,17.553556
2033,12,19.314402
2033,2,22.195301
2033,3,27.531216
2033,15,22.869833
2033,1,17.753027
2033,10,16.645685
2033,6,23.765112
2033,7,31.444044
2033,9,19.084007
2034,5,25.487545
2034,8,24.163946
2034,14,25.568945
2034,11,21.39852
2034,4,17.73178
2034,13,17.512758
2034,12,19.321087
2034,2,22.254528
2034,3,27.586435
2034,15,22.889498
2034,1,17.829676
2034,10,16.646519
2034,6,23.71747
2034,7,31.568846
2034,9,19.02078
2035,5,25.613222
2035,8,24.286642
2035,14,25.659294
2035,11,21.382122
2035,4,17.685179
2035,13,17.49226
2035,12,19.39673
2035,2,22.249636
2035,3,27.630495
2035,15,22.873383
2035,1,17.930702
2035,10,16.662207
2035,6,23.763891
2035,7,31.72806
2035,9,19.035858
2036,5,24.858046
2036,8,22.671219
2036,14,24.169687
2036,11,20.647398
2036,4,16.206854
2036,13,15.649028
2036,12,17.419897
2036,2,20.113169
2036,3,22.886154
2036,15,22.681911
2036,1,17.521837
2036,10,14.513373
2036,6,23.919804
2036,7,31.496227
2036,9,19.01821
2037,5,24.88223
2037,8,22.783096
2037,14,24.137444
2037,11,20.630136
2037,4,16.300077
2037,13,15.483553
2037,12,17.275534
2037,2,20.30101
2037,3,22.880611
2037,15,22.641508
2037,1,17.596392
2037,10,14.4503355
2037,6,23.867582
2037,7,31.703732
2037,9,18.983473
2038,5,25.041422
2038,8,22.947556
2038,14,24.107178
2038,11,20.618395
2038,4,16.403162
2038,13,15.423052
2038,12,17.365381
2038,2,20.395391
2038,3,22.87584
2038,15,22.599669
2038,1,17.656593
2038,10,14.3555765
2038,6,23.88663
2038,7,31.803633
2038,9,19.021744
2039,5,25.206427
2039,8,22.97808
2039,14,24.170212
2039,11,20.632118
2039,4,16.34107
2039,13,15.403674
2039,12,17.38017
2039,2,20.538038
2039,3,22.84362
2039,15,22.573757
2039,1,17.715748
2039,10,14.186829
2039,6,23.974375
2039,7,31.841824
2039,9,18.968014
2040,5,25.056883
2040,8,23.118591
2040,14,24.119978
2040,11,20.508682
2040,4,16.384617
2040,13,15.469563
2040,12,17.015059
2040,2,20.616438
2040,3,22.831034
2040,15,22.540222
2040,1,17.765516
2040,10,14.174733
2040,6,23.981121
2040,7,31.842966
2040,9,19.05145
2041,5,25.064157
2041,8,23.15265
2041,14,24.116234
2041,11,20.48506
2041,4,16.45531
2041,13,15.470875
2041,12,16.840376
2041,2,20.736273
2041,3,22.823643
2041,15,22.537638
2041,1,17.75095
2041,10,14.23026
2041,6,23.976511
2041,7,31.940136
2041,9,19.083975
2042,5,25.084364
2042,8,23.182774
2042,14,24.199108
2042,11,20.444984
2042,4,16.440647
2042,13,15.455464
2042,12,16.801174
2042,2,20.831938
2042,3,22.822163
2042,15,22.53321
2042,1,17.802166
2042,10,14.240816
2042,6,23.96985
2042,7,31.806988
2042,9,19.038425
2043,5,25.223547
2043,8,23.312391
2043,14,24.235508
2043,11,20.34792
2043,4,16.406532
2043,13,15.467693
2043,12,16.943855
2043,2,20.898914
2043,3,22.83998
2043,15,22.554535
2043,1,17.80121
2043,10,14.144542
2043,6,24.017742
2043,7,32.01256
2043,9,19.059717
2044,5,25.295448
2044,8,23.386255
2044,14,24.275642
2044,11,20.406181
2044,4,16.404291
2044,13,15.368064
2044,12,17.0567
2044,2,20.930185
2044,3,22.868113
2044,15,22.543749
2044,1,17.804226
2044,10,14.097231
2044,6,24.034117
2044,7,32.13751
2044,9,19.027231
2045,5,25.443638
2045,8,23.475588
2045,14,24.277973
2045,11,20.400696
2045,4,16.43042
2045,13,15.292259
2045,12,16.802553
2045,2,20.962494
2045,3,22.847391
2045,15,22.525948
2045,1,17.82819
2045,10,14.0046
2045,6,24.026035
2045,7,32.04134
2045,9,18.974052
2046,5,25.324762
2046,8,23.562696
2046,14,24.334475
2046,11,20.362413
2046,4,16.419594
2046,13,15.270398
2046,12,16.810555
2046,2,20.952137
2046,3,22.817854
2046,15,22.52574
2046,1,17.861158
2046,10,14.045632
2046,6,24.013273
2046,7,32.113636
2046,9,18.964464
2047,5,25.361895
2047,8,23.530249
2047,14,24.35732
2047,11,20.372227
2047,4,16.541628
2047,13,15.297158
2047,12,16.935814
2047,2,20.959156
2047,3,22.846104
2047,15,22.535473
2047,1,17.82908
2047,10,13.945852
2047,6,24.022305
2047,7,31.985088
2047,9,18.986725
2048,5,25.395857
2048,8,23.489946
2048,14,24.271177
2048,11,20.32231
2048,4,16.567387
2048,13,15.3248005
2048,12,16.777689
2048,2,21.012629
2048,3,22.831413
2048,15,22.522015
2048,1,17.89266
2048,10,13.980699
2048,6,24.021887
2048,7,32.108025
2048,9,19.046679
2049,5,23.88306
2049,8,22.65362
2049,14,23.054493
2049,11,18.417662
2049,4,15.855153
2049,13,14.947202
2049,12,15.89104
2049,2,19.968786
2049,3,21.58043
2049,15,20.334959
2049,1,16.605713
2049,10,12.96185
2049,6,22.192688
2049,7,30.460022
2049,9,17.861902
